filename,tapper,speaker,syllno,syll,p,PA
mono_B-M_left_0783,P1,B,10,ge:n,,
mono_B-M_left_0956,P1,B,1,m,,
mono_B-M_left_0956,P1,B,2,hm,,PA
mono_B-M_left_0956,P1,B,3,RaI,p,PA
mono_B-M_left_0956,P1,B,4,t@n,,
mono_B-M_left_0956,P1,B,5,ge:,,PA
mono_B-M_left_0956,P1,B,6,n@,,
mono_B-M_left_0956,P1,B,7,REl,p,
mono_B-M_left_0956,P1,B,8,maInst,,
mono_B-M_left_0956,P1,B,9,d@,,
mono_B-M_left_1086,P1,B,1,tse:n,,PA
mono_B-M_left_1086,P1,B,2,bIs,,
mono_B-M_left_1086,P1,B,3,tsvan,p,
mono_B-M_left_1086,P1,B,4,tsIC,,
mono_B-M_left_1086,P1,B,5,taU,p,
mono_B-M_left_1086,P1,B,6,z@nt,,
mono_B-M_left_1086,P1,B,7,OY,,PA
mono_B-M_left_1086,P1,B,8,Ro:,,
mono_B-M_left_1324,P1,B,1,zo:,,
mono_B-M_left_1324,P1,B,2,mI,p,PA
mono_B-M_left_1324,P1,B,3,ta:ks,,
mono_B-M_left_1324,P1,B,4,n,,
mono_B-M_left_1324,P1,B,5,di:,,
mono_B-M_left_1324,P1,B,6,zO,p,PA
mono_B-M_left_1324,P1,B,7,n@,,
mono_B-M_left_1324,P1,B,8,tsu:,,
mono_B-M_left_1324,P1,B,9,kna,p,
mono_B-M_left_1324,P1,B,10,ln,,
mono_B-M_left_1390,P1,B,1,di:,,
mono_B-M_left_1390,P1,B,2,b@,,
mono_B-M_left_1390,P1,B,3,tsa:lS,p,
mono_B-M_left_1390,P1,B,4,d@,,
mono_B-M_left_1390,P1,B,5,zEl,p,PA
mono_B-M_left_1390,P1,B,6,b6,,
mono_B-M_left_1390,P1,B,7,o:,,
mono_B-M_left_1390,P1,B,8,ke:,,PA
mono_G-B_left_0924,P1,G,1,dOx,p,PA
mono_G-B_left_0924,P1,G,2,dan,,
mono_G-B_left_0924,P1,G,3,vaIs,p,
mono_G-B_left_0924,P1,G,4,IC,,
mono_G-B_left_0924,P1,G,5,vas,,
mono_G-B_left_0924,P1,G,6,du:,,
mono_G-B_left_0924,P1,G,7,maInst,p,PA
mono_G-B_left_0924,P1,G,8,ja:,,
mono_G-L_left_0005,P1,G,1,IC,,
mono_G-L_left_0005,P1,G,2,ha:p,,
mono_G-L_left_0005,P1,G,3,hOYt,,
mono_G-L_left_0005,P1,G,4,mI,p,
mono_G-L_left_0005,P1,G,5,ta:k,,
mono_G-L_left_0005,P1,G,6,g@,,
mono_G-L_left_0005,P1,G,7,Sla:,,PA
mono_G-L_left_0005,P1,G,8,f@n,,
mono_G-L_left_0090,P1,G,1,ku:l,p,PA
mono_G-L_left_0090,P1,G,2,d@s,,
mono_G-L_left_0090,P1,G,3,ha:p,,
mono_G-L_left_0090,P1,G,4,C,,
mono_G-L_left_0090,P1,G,5,aUx,p,PA
mono_G-L_left_0090,P1,G,6,y:,,
mono_G-L_left_0090,P1,G,7,b6,,
mono_G-L_left_0090,P1,G,8,le:kt,,
mono_G-L_left_0135,P1,G,1,vo:,,
mono_G-L_left_0135,P1,G,2,vo:nst,,PA
mono_G-L_left_0135,P1,G,3,du:,,
mono_G-L_left_0135,P1,G,4,nOx,,
mono_G-L_left_0135,P1,G,5,tsu:,,
mono_G-L_left_0135,P1,G,6,haU,p,PA
mono_G-L_left_0135,P1,G,7,z@,,
mono_G-L_left_0135,P1,G,8,dan,,
mono_G-L_left_0159,P1,G,1,d@,,
mono_G-L_left_0159,P1,G,2,bIst,,
mono_G-L_left_0159,P1,G,3,kva:,p,
mono_G-L_left_0159,P1,G,4,zi:,,
mono_G-L_left_0159,P1,G,5,hi:6,p,PA
mono_G-L_left_0159,P1,G,6,g@,,
mono_G-L_left_0159,P1,G,7,bli:,,
mono_G-L_left_0159,P1,G,8,b@n,,
mono_G-L_left_0159,P1,G,9,dan,,
mono_G-L_left_0200,P1,G,1,ja:,p,
mono_G-L_left_0200,P1,G,2,v6,,
mono_G-L_left_0200,P1,G,3,StRaI,p,PA
mono_G-L_left_0200,P1,G,4,tm,,
mono_G-L_left_0200,P1,G,5,Uns,,
mono_G-L_left_0200,P1,G,6,gants,,
mono_G-L_left_0200,P1,G,7,gE6,,
mono_G-L_left_0200,P1,G,8,n@,,
mono_G-L_left_0202,P1,G,1,vi:6,,
mono_G-L_left_0202,P1,G,2,zInt,,
mono_G-L_left_0202,P1,G,3,halt,p,
mono_G-L_left_0202,P1,G,4,nu:6,,
mono_G-L_left_0202,P1,G,5,aIn,p,PA
mono_G-L_left_0202,P1,G,6,ja:6,,
mono_G-L_left_0202,P1,G,7,aUs,,
mono_G-L_left_0202,P1,G,8,aIn,,
mono_G-L_left_0202,P1,G,9,an,p,PA
mono_G-L_left_0202,P1,G,10,d6,,
mono_G-L_left_0226,P1,G,1,Es,,
mono_G-L_left_0226,P1,G,2,maxt,p,
mono_G-L_left_0226,P1,G,3,aIn,,
mono_G-L_left_0226,P1,G,4,fax,,
mono_G-L_left_0226,P1,G,5,ga:6,p,
mono_G-L_left_0226,P1,G,6,kaI,,
mono_G-L_left_0226,P1,G,7,n,,
mono_G-L_left_0226,P1,G,8,Un,p,PA
mono_G-L_left_0226,P1,G,9,t6,,
mono_G-L_left_0226,P1,G,10,Si:t,,
mono_G-L_left_0263,P1,G,1,ja:,p,PA
mono_G-L_left_0263,P1,G,2,s,,
mono_G-L_left_0263,P1,G,3,ja:,,
mono_G-L_left_0263,P1,G,4,nIC,p,
mono_G-L_left_0263,P1,G,5,zo:,,
mono_G-L_left_0263,P1,G,6,tRa:,p,PA
mono_G-L_left_0263,P1,G,7,gIS,,
mono_G-L_left_0263,P1,G,8,IC,,
mono_G-L_left_0263,P1,G,9,maI,,
mono_G-L_left_0263,P1,G,10,n@,,
mono_G-L_left_0279,P1,G,1,ja:,,
mono_G-L_left_0279,P1,G,2,ku:l,p,PA
mono_G-L_left_0279,P1,G,3,Un,,
mono_G-L_left_0279,P1,G,4,E:m,,
mono_G-L_left_0279,P1,G,5,vi:,,PA
mono_G-L_left_0279,P1,G,6,fUNk,p,
mono_G-L_left_0279,P1,G,7,tsjo:,,
mono_G-L_left_0279,P1,G,8,ni:6t,p,
mono_G-L_left_0279,P1,G,9,d@s,,
mono_G-L_left_0317,P1,G,1,man,,
mono_G-L_left_0317,P1,G,2,kan,,
mono_G-L_left_0317,P1,G,3,ja:,p,
mono_G-L_left_0317,P1,G,4,aUx,,PA
