filename,speaker,syllno,syll,sylldur,prepausal,postpausal,f0meanhz,f0meanst,f0rangehz,f0rangest,f0maxhz,f0maxst,intens,seglabel,segdur,f0meanhz_v,f0meanst_v,f0rangehz_v,f0rangest_v,f0rangest_v_abs,f0maxHz_v,f0maxst_v,intens_v,h1h2,cpps,slope
mono_B-A_left_0309,B,1,dan,0.140,0,1,189.760,90.794,36.915,3.256,215.275,93.000,68.984,a,0.042,191.285,90.929,36.603,3.231,-2.900,214.963,92.975,71.683,2.768,12.631,-21.595
mono_B-A_left_0309,B,2,laUf,0.180,0,0,184.300,90.298,21.672,2.009,197.816,91.536,70.767,aU,0.090,184.016,90.272,21.562,1.998,1.021,197.816,91.536,72.591,1.864,20.159,-15.966
mono_B-A_left_0309,B,3,dOx,0.136,0,0,267.710,96.667,111.267,6.937,337.120,100.765,66.831,O,0.039,282.787,97.697,63.501,3.762,-2.057,324.673,100.108,70.158,-1.555,12.335,-22.572
mono_B-A_left_0309,B,4,ma:,0.164,0,0,209.640,92.512,44.866,3.790,228.490,94.032,68.969,a:,0.090,199.950,91.710,32.711,2.841,-2.081,216.334,93.082,68.910,11.519,16.154,-22.407
mono_B-A_left_0309,B,5,n,0.041,0,0,190.629,90.889,22.542,2.059,200.946,91.814,60.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
mono_B-A_left_0309,B,6,aI,0.069,0,0,186.473,90.513,13.431,1.252,193.055,91.116,64.443,aI,0.069,186.473,90.513,13.431,1.252,-0.301,193.055,91.116,64.443,9.773,19.771,-15.441
mono_B-A_left_0309,B,7,n@,0.080,0,0,182.202,90.111,11.298,1.085,186.544,90.523,63.749,@,0.030,182.294,90.119,10.133,0.974,-0.509,185.379,90.412,65.062,9.255,12.977,-26.017
mono_B-A_left_0309,B,8,RaIn,0.300,1,0,204.220,91.941,78.433,6.835,240.438,94.914,63.031,aI,0.110,193.724,91.131,51.272,4.518,3.835,223.204,93.626,64.925,6.815,18.791,-18.623
mono_B-A_left_0366,B,1,zOn,0.230,0,1,217.550,93.174,31.454,2.462,237.207,94.680,66.252,O,0.059,218.441,93.238,31.454,2.462,--undefined--,237.207,94.680,68.117,7.119,9.270,-15.914
mono_B-A_left_0366,B,2,d6n,0.143,0,0,216.934,93.128,28.227,2.358,221.771,93.515,72.262,6,0.070,217.684,93.193,8.568,0.690,-0.200,220.204,93.392,73.063,7.492,19.262,-16.322
mono_B-A_left_0366,B,3,de:6,0.175,0,0,213.909,92.868,53.932,4.353,242.608,95.070,74.118,e:6,0.139,215.425,92.996,36.947,2.859,--undefined--,242.608,95.070,75.061,3.009,20.799,-15.372
mono_B-A_left_0366,B,4,ap,0.134,0,0,202.605,91.942,23.034,1.909,220.620,93.425,68.922,a,0.071,220.620,93.425,0,0,--undefined--,220.620,93.425,71.266,--undefined--,10.095,-14.374
mono_B-A_left_0366,B,5,Stant,0.168,0,0,198.264,91.574,7.523,0.658,201.790,91.881,64.980,a,0.015,198.817,91.622,5.442,0.474,--undefined--,201.790,91.881,68.323,9.028,9.781,-23.093
mono_B-A_left_0366,B,6,da:,0.060,0,0,196.636,91.429,14.342,1.283,200.761,91.792,67.194,a:,0.030,195.390,91.317,14.342,1.283,-0.808,200.761,91.792,66.871,7.714,14.346,-25.870
mono_B-A_left_0366,B,7,tsvI,0.150,0,0,200.660,91.766,28.071,2.439,213.632,92.868,60.896,I,0.040,202.582,91.936,27.453,2.382,-1.368,213.632,92.868,65.043,7.255,7.233,-28.243
mono_B-A_left_0366,B,8,S@n,0.230,1,0,188.535,90.681,39.361,3.454,217.723,93.198,58.048,@,0.032,202.496,91.916,32.298,2.780,--undefined--,217.723,93.198,61.416,19.603,7.785,-30.313
mono_B-M_left_0300,B,1,ha:p,0.160,0,1,228.473,94.002,45.945,3.537,248.443,95.481,68.463,a:,0.050,227.673,93.961,28.160,2.174,-1.366,239.292,94.831,72.379,17.676,13.932,-29.204
mono_B-M_left_0300,B,2,da:,0.112,0,0,206.760,92.301,6.336,0.529,210.298,92.596,67.170,a:,0.056,206.760,92.301,6.336,0.529,--undefined--,210.298,92.596,69.942,9.120,4.109,-31.114
mono_B-M_left_0300,B,3,jEts,0.239,0,0,201.790,91.879,9.104,0.779,206.909,92.314,64.397,E,0.043,200.236,91.746,2.939,0.254,-0.066,201.736,91.876,67.924,6.474,15.146,-30.097
mono_B-M_left_0300,B,4,fi:6,0.179,0,0,218.686,93.267,25.545,1.969,237.976,94.739,70.333,i:6,0.136,218.000,93.214,24.147,1.864,-1.757,236.578,94.634,71.440,0.605,14.574,-30.929
mono_B-M_left_0300,B,5,ja:,0.100,0,0,207.917,92.395,19.522,1.667,212.899,92.808,69.813,a:,0.073,206.546,92.280,17.369,1.491,-1.188,210.745,92.632,69.526,8.660,15.833,-24.772
mono_B-M_left_0300,B,6,R@,0.093,0,0,189.510,90.788,15.149,1.395,195.638,91.345,63.899,@,0.063,188.838,90.726,14.398,1.329,-1.000,194.887,91.278,63.644,11.050,10.577,-30.754
mono_B-M_left_0300,B,7,Stu:,0.167,0,0,194.519,91.218,34.730,3.036,216.175,93.073,57.095,u:,0.040,195.547,91.307,34.730,3.036,-2.643,216.175,93.073,62.515,6.292,9.250,-36.121
mono_B-M_left_0300,B,8,di:6t,0.389,1,0,248.785,95.316,122.381,9.168,297.653,98.610,66.618,i:6,0.209,254.099,95.735,92.076,6.407,5.283,297.653,98.610,69.051,11.592,12.423,-33.346
mono_B-M_left_0355,B,1,a:,0.070,0,1,185.488,90.417,15.666,1.497,189.106,90.757,74.557,a:,0.070,185.488,90.417,15.666,1.497,--undefined--,189.106,90.757,74.557,12.775,11.385,-16.496
mono_B-M_left_0355,B,2,b6,0.130,0,0,185.995,90.459,22.900,2.165,194.851,91.276,74.500,6,0.070,189.592,90.794,22.900,2.165,-1.220,194.851,91.276,76.620,2.685,14.651,-30.785
mono_B-M_left_0355,B,3,s,0.052,0,0,165.771,88.473,9.037,0.935,171.952,89.110,66.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
mono_B-M_left_0355,B,4,lE6nt,0.278,0,0,190.918,90.828,109.018,8.735,275.150,97.249,73.047,E6,0.140,183.770,90.253,25.430,2.323,-1.386,202.556,91.947,75.111,6.285,18.284,-18.107
mono_B-M_left_0355,B,5,zIC,0.090,0,0,166.458,88.515,28.358,2.974,179.578,89.863,66.375,I,0.035,172.808,89.184,18.434,1.878,--undefined--,179.578,89.863,69.450,6.909,5.632,-38.218
mono_B-M_left_0355,B,6,tsu:,0.120,0,0,160.524,87.919,3.902,0.421,162.444,88.126,58.697,u:,0.030,160.524,87.919,3.902,0.421,--undefined--,162.444,88.126,62.867,6.812,7.882,-31.229
mono_B-M_left_0355,B,7,mIn,0.150,0,0,164.379,88.327,16.201,1.726,170.774,88.991,67.168,I,0.030,161.782,88.055,2.619,0.280,0.076,163.174,88.203,68.331,8.428,17.011,-34.285
mono_B-M_left_0355,B,8,d@st,0.163,0,0,158.942,87.743,11.795,1.272,166.501,88.553,57.861,@,0.025,162.207,88.091,11.795,1.272,--undefined--,166.501,88.553,57.351,16.296,4.767,-28.293
mono_B-M_left_0355,B,9,laICt,0.357,1,0,164.408,88.328,16.068,1.703,171.479,89.063,65.279,aI,0.227,164.408,88.328,16.068,1.703,--undefined--,171.479,89.063,66.793,6.441,18.984,-21.175
mono_B-M_left_0381,B,1,Unt,0.180,1,1,183.041,90.176,35.212,3.470,195.239,91.344,70.498,U,0.061,182.882,90.164,30.107,2.976,--undefined--,190.134,90.850,71.581,-1.599,15.459,-31.674
mono_B-M_left_0381,B,2,di:,0.220,0,1,207.676,92.367,31.508,2.657,221.660,93.509,75.397,i:,0.170,207.774,92.375,31.508,2.657,-0.842,221.660,93.509,76.508,33.932,12.539,-38.719
mono_B-M_left_0381,B,3,vI6t,0.194,0,0,197.042,91.460,19.285,1.707,205.404,92.188,72.137,I6,0.070,200.451,91.761,12.051,1.047,-0.830,205.404,92.188,75.558,-0.095,13.808,-34.366
mono_B-M_left_0381,B,4,jEts,0.136,0,0,180.383,89.906,39.685,3.897,196.905,91.456,66.918,E,0.040,186.891,90.545,18.113,1.671,-1.478,196.905,91.456,70.882,4.425,12.081,-24.674
mono_B-M_left_0381,B,5,nOx,0.140,0,0,182.793,90.151,26.726,2.561,194.340,91.229,69.356,O,0.060,183.934,90.272,16.621,1.583,-1.236,190.264,90.862,70.069,11.843,16.365,-23.621
mono_B-M_left_0381,B,6,ma:l,0.334,0,0,180.824,89.949,36.436,3.387,205.028,92.156,71.986,a:,0.126,171.630,89.077,8.079,0.810,0.246,176.672,89.579,70.474,8.739,15.625,-14.359
mono_B-M_left_0381,B,7,g@,0.094,0,0,202.141,91.898,22.640,1.933,214.328,92.924,69.531,@,0.067,205.619,92.197,21.791,1.856,-0.826,214.328,92.924,69.870,4.345,16.895,-28.487
mono_B-M_left_0381,B,8,kY6tst,0.403,1,0,221.867,93.518,34.147,2.730,234.510,94.488,66.588,Y6,0.151,222.958,93.607,12.932,0.995,-0.378,231.600,94.266,70.248,4.511,16.506,-29.394
mono_B-M_left_0404,B,1,d6,0.317,1,1,210.480,92.602,19.248,1.591,218.993,93.297,68.252,6,0.317,210.480,92.602,19.248,1.591,--undefined--,218.993,93.297,68.252,--undefined--,9.539,-25.454
mono_B-M_left_0404,B,2,nu:6,0.372,0,1,182.848,90.157,47.376,4.539,205.444,92.192,65.676,u:6,0.250,186.334,90.494,27.458,2.484,1.104,205.444,92.192,66.022,3.326,18.863,-26.728
mono_B-M_left_0404,B,3,fOn,0.290,0,0,179.336,89.815,55.160,5.112,216.231,93.099,63.738,O,0.050,183.392,90.175,49.253,4.484,-3.718,216.231,93.099,66.707,13.938,7.842,-25.551
mono_B-M_left_0404,B,4,g@,0.070,0,0,174.653,89.378,10.160,1.004,180.421,89.943,64.750,@,0.040,175.422,89.454,10.160,1.004,-0.713,180.421,89.943,65.694,13.482,12.599,-29.418
mono_B-M_left_0404,B,5,mE,0.160,0,0,174.814,89.384,29.162,2.744,198.984,91.638,65.474,E,0.070,178.494,89.737,28.674,2.693,1.918,198.984,91.638,65.621,14.605,16.285,-25.196
mono_B-M_left_0404,B,6,ts@l,0.210,0,0,219.628,93.273,87.757,6.397,284.091,97.803,63.257,@,0.027,222.118,93.530,32.345,2.469,-0.657,243.111,95.103,69.012,5.635,11.081,-31.862
mono_B-M_left_0404,B,7,Un,0.117,0,0,203.515,92.024,9.471,0.808,207.785,92.388,64.476,U,0.060,203.515,92.024,9.471,0.808,--undefined--,207.785,92.388,65.144,12.794,10.253,-26.046
mono_B-M_left_0404,B,8,Slaxt,0.390,0,0,194.696,91.242,34.248,3.096,209.163,92.502,62.120,a,0.090,192.844,91.081,31.474,2.868,0.031,207.112,92.348,65.612,13.222,10.619,-18.758
mono_B-M_left_0404,B,9,han,0.203,0,0,194.577,91.239,25.559,2.243,210.298,92.595,65.513,a,0.060,194.546,91.235,22.055,1.953,--undefined--,206.794,92.305,67.538,17.838,10.058,-23.295
mono_B-M_left_0404,B,10,d@lt,0.210,1,0,193.055,91.109,17.088,1.560,198.243,91.574,69.367,@,0.119,195.533,91.334,7.636,0.680,-0.182,198.243,91.574,70.986,4.698,17.213,-32.231
mono_B-M_left_0468,B,1,vi:,0.150,0,1,178.468,89.737,32.077,3.262,186.790,90.543,66.476,i:,0.100,180.538,89.950,17.932,1.784,0.744,186.790,90.543,67.002,16.589,15.696,-33.338
mono_B-M_left_0468,B,2,de:,0.098,0,0,187.472,90.595,18.497,1.698,197.992,91.552,67.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
mono_B-M_left_0468,B,3,o:,0.103,0,0,185.872,90.453,17.347,1.613,195.005,91.288,66.196,o:,0.103,185.872,90.453,17.347,1.613,--undefined--,195.005,91.288,66.196,6.513,7.970,-26.005
mono_B-M_left_0468,B,4,aUx,0.149,0,0,169.451,88.842,18.999,1.965,176.704,89.582,63.109,aU,0.089,174.581,89.372,4.843,0.484,--undefined--,176.704,89.582,65.096,19.244,6.799,-20.952
mono_B-M_left_0468,B,5,y:,0.034,0,0,187.649,90.618,12.839,1.186,194.521,91.249,56.395,y:,0.034,187.649,90.618,12.839,1.186,-0.352,194.521,91.249,56.395,12.384,4.679,-40.971
mono_B-M_left_0468,B,6,b6,0.096,0,0,173.195,89.220,29.318,2.966,186.437,90.514,63.817,6,0.060,169.836,88.886,22.585,2.325,-1.104,179.704,89.874,65.425,8.078,13.298,-23.671
mono_B-M_left_0468,B,7,haUpt,0.260,0,0,167.866,88.672,25.073,2.590,180.442,89.945,60.730,aU,0.060,173.890,89.297,16.731,1.686,0.731,180.442,89.945,65.105,11.114,11.139,-24.882
mono_B-M_left_0468,B,8,nIC,0.210,1,0,162.758,88.153,16.656,1.760,172.318,89.147,62.526,I,0.090,163.484,88.233,12.839,1.363,-1.277,169.681,88.880,64.539,11.156,11.049,-36.735
mono_B-M_left_0500,B,1,by:,0.253,0,1,190.057,90.837,26.175,2.431,201.208,91.848,66.725,y:,0.091,190.663,90.895,18.732,1.740,-0.365,201.208,91.848,70.479,11.553,9.934,-46.357
mono_B-M_left_0500,B,2,n,0.157,0,0,213.418,92.837,31.017,2.598,222.527,93.574,69.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
mono_B-M_left_0500,B,3,tEC,0.260,0,0,236.669,94.638,17.464,1.269,247.475,95.415,62.753,E,0.090,236.586,94.633,14.066,1.028,--undefined--,244.076,95.174,66.543,10.818,9.022,-35.152
mono_B-M_left_0500,B,4,nIk,0.166,0,0,257.740,96.101,38.962,2.618,277.698,97.409,66.810,I,0.050,258.007,96.135,9.407,0.637,-0.316,260.509,96.302,70.403,17.317,10.230,-42.236
mono_B-M_left_0500,B,5,a:,0.114,0,0,245.709,95.276,45.214,3.081,275.330,97.264,64.009,a:,0.114,245.709,95.276,45.214,3.081,--undefined--,275.330,97.264,64.009,13.318,4.937,-28.211
mono_B-M_left_0500,B,6,ge:,0.190,0,0,248.608,95.478,34.799,2.491,259.612,96.243,63.572,e:,0.160,251.930,95.716,26.910,1.894,1.141,259.612,96.243,64.115,14.729,6.085,-39.377
mono_B-M_left_0500,B,7,vas,0.160,0,0,214.237,92.844,62.377,4.965,250.152,95.600,61.469,a,0.050,204.067,92.050,35.809,3.021,-2.380,223.781,93.673,64.230,13.796,3.188,-35.819
mono_B-M_left_0500,B,8,maxt,0.190,0,0,183.965,90.251,43.814,4.016,211.808,92.724,61.015,a,0.040,182.506,90.137,14.411,1.364,-1.285,190.198,90.856,64.741,19.659,12.394,-34.809
mono_B-M_left_0500,B,9,man,0.135,0,0,214.766,92.953,21.865,1.747,227.760,93.977,63.106,a,0.052,211.642,92.701,21.091,1.688,-1.178,226.987,93.917,64.283,22.338,10.220,-37.483
mono_B-M_left_0500,B,10,da,0.165,1,0,233.969,94.426,37.485,2.765,253.938,95.860,63.248,a,0.140,236.804,94.640,29.280,2.121,--undefined--,253.938,95.860,63.029,17.999,6.982,-34.748
mono_B-M_left_0578,B,1,a,0.110,0,1,198.146,91.564,5.425,0.474,200.861,91.801,73.652,a,0.110,198.146,91.564,5.425,0.474,--undefined--,200.861,91.801,73.652,9.309,5.654,-18.164
mono_B-M_left_0578,B,2,zo:,0.090,0,0,194.595,91.249,17.859,1.628,198.999,91.639,74.794,o:,0.040,196.429,91.410,17.859,1.628,-0.487,198.999,91.639,75.139,0.970,15.041,-33.358
mono_B-M_left_0578,B,3,d@s,0.148,0,0,192.070,90.999,33.812,3.112,204.744,92.132,71.352,@,0.050,201.906,91.890,6.921,0.595,0.190,204.744,92.132,75.091,0.156,15.305,-30.619
mono_B-M_left_0578,B,4,Is,0.142,0,0,195.592,91.325,27.366,2.496,203.116,91.994,64.831,I,0.052,199.096,91.646,9.272,0.809,-0.205,203.116,91.994,67.921,7.102,10.529,-32.570
mono_B-M_left_0578,B,5,fi:l,0.143,0,0,208.329,92.393,47.239,4.078,225.069,93.771,70.711,i:,0.049,217.831,93.202,13.676,1.085,-0.955,225.069,93.771,73.211,8.383,18.424,-30.963
mono_B-M_left_0578,B,6,Su:,0.206,0,0,208.836,92.467,18.224,1.511,218.101,93.226,60.883,u:,0.050,208.812,92.465,18.224,1.511,0.730,218.101,93.226,65.649,11.229,10.664,-41.417
mono_B-M_left_0578,B,7,lI,0.130,0,0,209.894,92.547,37.508,3.258,218.655,93.270,71.227,I,0.080,208.088,92.394,37.508,3.258,-2.536,218.655,93.270,72.408,-1.766,17.810,-27.301
mono_B-M_left_0578,B,8,S6,0.352,0,0,186.115,90.450,51.920,4.639,221.820,93.542,65.162,6,0.274,187.460,90.577,47.651,4.204,--undefined--,221.820,93.542,66.096,7.683,16.499,-23.521
mono_B-M_left_0578,B,9,ja,0.228,1,0,207.619,92.251,84.852,7.130,251.317,95.680,66.503,a,0.151,217.684,93.098,67.128,5.380,--undefined--,251.317,95.680,65.969,20.907,8.148,-35.078
